time;open;high;low;close;volume
May 12 2011;267.88;268.73;265.71;267.78;1,448,203
May 13 2011;267.56;268.22;264.78;265.03;2,107,641
May 16 2011;263.41;263.89;258.45;259.46;2,956,554
May 17 2011;257.96;265.87;257.76;265.49;3,304,874
May 18 2011;265.03;265.42;263.10;265.16;1,954,293
May 19 2011;266.62;268.53;265.12;265.88;2,471,136
May 20 2011;266.16;266.25;261.82;262.27;2,318,873
May 23 2011;258.55;260.25;256.95;259.45;2,252,638
May 24 2011;260.44;262.23;259.33;259.38;1,888,538
May 25 2011;258.92;261.64;258.88;260.09;1,301,567
May 26 2011;259.10;261.31;257.75;259.32;2,118,981
May 27 2011;259.49;261.15;258.40;260.70;1,746,296
May 31 2011;262.75;264.78;262.00;264.77;2,687,858
Jun 01 2011;264.28;266.86;262.91;263.05;2,957,172
Jun 02 2011;264.04;265.41;261.49;264.29;2,204,422
Jun 03 2011;261.25;264.06;261.00;261.79;1,748,462
Jun 06 2011;263.17;263.66;259.88;260.78;1,942,088
Jun 07 2011;261.70;262.57;259.75;259.77;1,907,509
Jun 08 2011;258.52;260.87;258.14;259.84;1,654,097
Jun 09 2011;260.25;260.25;258.07;258.62;1,689,086
Jun 10 2011;257.29;258.60;254.89;255.00;2,440,475
Jun 13 2011;255.25;255.35;251.33;252.61;2,427,208
Jun 14 2011;254.32;257.29;253.74;254.43;2,341,461
Jun 15 2011;252.76;254.42;250.55;251.72;2,073,301
Jun 16 2011;251.65;254.31;248.58;250.43;2,757,216
Jun 17 2011;253.34;253.59;242.63;242.75;5,251,546
Jun 20 2011;242.74;243.35;239.85;242.52;3,028,639
Jun 21 2011;243.83;247.21;242.60;246.74;2,765,357
Jun 22 2011;245.96;246.41;243.60;243.74;2,407,972
Jun 23 2011;241.30;241.66;237.09;240.34;4,802,302
Jun 24 2011;240.57;240.61;236.74;237.67;3,806,587
Jun 27 2011;237.23;244.44;237.03;241.63;3,444,633
Jun 28 2011;242.24;248.34;242.24;247.06;2,717,364
Jun 29 2011;248.51;250.37;246.43;249.03;2,342,920
Jun 30 2011;251.24;253.58;250.99;253.44;2,428,510
Jul 01 2011;253.62;260.84;253.44;260.77;3,636,642
Jul 05 2011;262.90;267.96;262.90;266.48;3,847,351
Jul 06 2011;267.01;269.52;266.78;267.94;2,695,681
Jul 07 2011;270.76;275.61;268.20;273.56;3,935,660
Jul 08 2011;266.73;269.09;263.89;266.25;4,770,170
Jul 11 2011;264.35;268.25;263.00;263.90;2,839,996
Jul 12 2011;264.34;269.97;263.25;267.26;2,841,532
Jul 13 2011;268.76;272.26;268.50;269.39;2,790,771
Jul 14 2011;269.82;271.26;263.62;264.73;6,649,410
Jul 15 2011;299.04;300.42;294.37;299.10;13,735,983
Jul 18 2011;296.53;301.32;296.29;297.76;4,469,225
Jul 19 2011;298.36;302.63;298.05;301.57;2,967,816
Jul 20 2011;301.38;301.71;297.96;297.96;2,229,023
Jul 21 2011;297.30;304.32;297.29;303.79;3,469,850
Jul 22 2011;302.99;310.05;302.43;309.41;3,531,622
Jul 25 2011;306.98;313.01;306.80;309.79;3,131,952
Jul 26 2011;309.32;314.05;308.91;311.56;2,343,370
Jul 27 2011;308.89;310.78;302.67;303.90;3,934,890
Jul 28 2011;302.89;308.29;301.79;305.77;3,109,115
Jul 29 2011;302.41;307.78;302.14;302.14;4,138,101
Aug 01 2011;305.91;308.05;299.88;303.68;3,968,312
Aug 02 2011;303.29;305.13;296.07;296.49;3,201,303
Aug 03 2011;297.33;301.79;292.10;300.88;3,825,910
Aug 04 2011;297.54;299.72;289.01;289.04;4,916,432
Aug 05 2011;291.55;295.29;281.27;289.80;5,930,780
Aug 08 2011;281.76;284.78;272.44;273.27;7,497,701
Aug 09 2011;280.77;287.58;270.77;286.98;6,470,475
Aug 10 2011;280.96;282.33;274.13;274.77;5,373,697
Aug 11 2011;277.18;284.53;274.47;281.34;4,832,119
Aug 12 2011;285.03;285.53;280.47;282.16;3,155,376
Aug 15 2011;276.98;282.77;273.29;278.89;7,145,020
Aug 16 2011;276.48;276.49;265.41;269.76;6,940,503
Aug 17 2011;270.28;272.11;265.64;266.83;4,079,101
Aug 18 2011;261.99;262.70;250.49;252.68;6,291,368
Aug 19 2011;249.91;257.68;245.67;245.70;5,411,586
Aug 22 2011;252.24;253.75;247.50;249.33;4,907,175
Aug 23 2011;251.99;260.96;249.77;259.66;4,347,823
Aug 24 2011;259.92;265.26;258.87;261.90;3,598,264
Aug 25 2011;265.45;268.90;259.40;260.27;3,297,297
Aug 26 2011;260.25;265.48;256.82;263.69;3,597,309
Aug 29 2011;267.54;269.99;267.04;269.80;2,338,106
Aug 30 2011;269.36;271.76;265.66;270.61;2,990,176
Aug 31 2011;272.63;273.41;268.26;270.74;2,693,390
Sep 01 2011;270.64;272.18;265.87;266.51;2,415,607
Sep 02 2011;262.49;264.22;260.62;262.67;2,402,024
Sep 06 2011;255.65;261.63;255.50;261.34;2,715,977
Sep 07 2011;265.48;268.23;263.96;267.27;2,758,545
Sep 08 2011;267.16;269.81;266.21;267.74;2,381,025
Sep 09 2011;265.96;267.58;260.85;262.68;3,269,069
Sep 12 2011;259.23;266.25;259.00;265.32;2,670,471
Sep 13 2011;266.26;267.20;261.95;265.02;2,354,150
Sep 14 2011;266.55;268.74;263.16;266.29;2,694,739
Sep 15 2011;268.01;272.75;267.54;271.54;2,961,967
